city,cloudiness,humidity,lat,max temp,wind speed
Bonaberi,75,94,4.08,299.15,0.5
Sumabnit,8,85,16.02,302.584,1.36
Qumaym,80,93,32.57,286.734,1.04
Odaile,0,78,45.38,282.534,0.84
Livingston,75,88,32.58,296.15,4.1
La Concordia,12,96,13.2,294.384,0.99
Gashua,12,77,12.87,297.684,4.16
Anisoc,92,98,1.87,295.784,1.11
Caraballeda,20,83,10.61,299.15,1.0
Nikolskoye,40,61,59.7,283.15,4.0
Olutanga,56,100,7.31,301.084,2.71
Banganan,56,78,16.31,300.384,1.16
Ragusa,0,82,36.92,292.15,3.1
Voloka,0,82,48.34,287.15,2.0
Ringsted,8,72,55.45,290.15,4.1
Gargunnock,90,87,56.12,287.15,3.6
Paez,75,94,2.93,294.15,1.0
Narsingdi,90,94,23.92,298.15,3.6
Halmeu,64,100,47.98,289.15,1.29
Valle de Banderas,90,83,20.81,302.15,6.2
El Penol,32,97,1.46,282.784,0.84
Springfield,1,78,37.22,298.15,2.6
Kedungwuni,0,59,-6.92,300.634,0.44
Kingisepp,0,40,59.38,286.984,3.01
Oga,0,95,8.18,296.284,3.49
Hasanpur,0,58,28.72,306.284,2.56
Oistins,75,83,13.07,298.15,10.3
Dourbali,0,83,11.81,295.584,1.26
Kostrzyn,0,87,52.4,288.15,2.1
Fusagasuga,75,87,4.34,286.15,1.5
Sinayawan,75,74,6.71,303.15,3.1
Paracuru,20,78,-3.41,300.15,1.5
Messina,0,88,38.19,295.15,2.1
Abomey-Calavi,40,88,6.45,299.15,3.1
Plauen,0,100,50.5,286.15,1.5
Glamang,48,87,6.16,301.084,1.44
Nageshwari,48,96,25.94,297.634,1.94
Santa Helena,36,94,-2.23,296.234,2.51
Stenlille,0,72,55.79,290.15,4.1
Baganga,24,100,7.57,301.284,1.94
Lennestadt,0,88,51.12,291.15,2.6
Bacnotan,12,70,16.72,301.134,1.26
Nueva Germania,92,59,-23.91,296.234,2.84
Muggia,0,82,45.6,293.15,2.1
Chukhloma,0,59,58.76,278.084,9.09
Salamanca,12,98,40.97,282.534,1.59
Lewisville,1,55,33.05,305.15,5.1
Ponerihouen,0,100,-21.08,296.384,2.79
Ocana,90,88,41.96,292.15,1.5
Buarcos,75,87,40.16,289.15,3.6
Koryazhma,64,57,61.32,274.484,8.14
Cantel,64,98,14.81,288.434,0.79
Iguguno,12,84,-4.57,286.384,2.91
Anzio,0,88,41.45,292.15,1.5
Dambovicioara,8,85,45.45,280.734,0.79
Litomerice,0,93,50.53,288.15,1.0
Jutiapa,56,96,14.29,292.484,1.04
Luvianos,0,65,18.92,291.884,0.59
Tilik,12,94,13.81,303.884,6.54
Chipping Sodbury,90,100,51.54,289.15,2.6
Mildmay,68,79,44.04,296.634,6.66
Cedar Park,1,62,30.52,302.15,4.6
Odolena Voda,0,93,50.23,288.15,1.0
Atlixco,5,18,18.91,294.15,3.6
Oktyabrskoye,92,94,56.73,283.334,2.11
Poindimie,0,100,-20.93,296.384,2.79
Matata,0,100,-37.89,286.884,1.79
Cheremkhovo,0,55,53.15,294.534,4.09
Lakewood,90,77,33.85,294.15,4.1
Ahuacatlan,0,47,21.05,298.384,0.91
Erandio,75,87,43.3,289.15,1.5
Taunton,1,77,41.9,291.15,2.94
San Antonio,0,93,-33.58,280.15,1.49
Tonkino,36,79,57.37,279.084,6.16
Optasi,0,87,44.58,284.15,2.1
Makeni,92,96,8.88,296.584,2.01
Grevena,12,96,40.09,284.284,1.01
Kahta,0,93,37.78,287.15,4.1
Lure,92,100,47.69,287.834,2.26
Davydivka,100,51,50.28,293.734,1.69
Lazi,0,88,45.57,293.15,1.5
Bidara,64,51,17.91,303.534,3.94
Colton,40,49,34.07,298.15,5.1
Vocklabruck,12,82,48.02,290.15,1.5
Hoctun,75,65,20.87,301.15,1.94
Furao,92,100,29.56,289.584,1.24
Le Lamentin,0,78,14.62,299.15,2.6
Morangis,0,93,48.7,292.15,2.74
Ekazhevo,12,91,43.21,284.684,1.44
Taytay,92,100,10.83,300.134,2.16
Buxton,75,93,53.26,288.15,0.5
Aneby,0,71,57.84,285.15,1.5
Tantoyuca,8,49,21.35,304.784,5.29
Nikko,75,64,36.75,295.15,3.6
Margate,20,50,-43.03,284.15,5.7
Ceuta,0,73,23.9,300.284,1.46
Tricase,0,88,39.93,295.15,3.1
Saskylakh,56,87,71.97,281.584,6.16
Ako,75,100,34.79,292.15,2.6
Basse,0,87,52.55,290.15,1.5
Volnoye,32,80,44.63,287.484,0.91
Naruja,75,94,41.91,293.15,0.94
Makrana,0,40,27.04,306.784,1.96
Cincu,0,87,45.91,286.15,1.5
Voula,20,56,37.85,293.15,2.6
Baixa Grande,92,99,-11.96,292.684,1.79
Travnik,40,100,44.23,285.15,1.5
Anand,20,66,22.56,305.15,2.6
Limot,75,74,7.04,303.15,3.1
Pangpang,8,85,15.94,302.584,1.36
Zaragoza,40,93,41.65,288.15,2.6
Ara,36,94,35.71,291.984,1.71
Fauvillers,0,100,49.85,288.15,2.6
Passo Fundo,0,72,-28.26,289.234,4.86
Amilly,44,92,47.98,288.934,3.24
Roquetas de Mar,0,82,36.76,290.15,2.1
Nova Vcelnice,0,76,49.24,289.734,4.26
Stolberg,0,100,51.57,289.15,1.0
Moundou,36,95,8.57,295.134,1.49
Artemisa,75,88,22.81,299.15,2.1
Ulmu,0,81,47.01,284.15,1.0
Opwijk,0,88,50.97,292.15,2.1
Callaway,1,82,46.98,293.15,1.21
Lunas,75,62,5.43,305.15,1.5
Anatoli,40,83,35.05,295.15,7.7
Guayama,20,83,17.99,300.15,4.1
Songkhla,75,94,7.2,299.15,2.14
Kyakhulay,32,77,42.96,288.15,2.0
Aranzazu,20,88,5.27,294.15,2.6
Valkla,0,67,59.48,287.15,5.1
Kyaikkami,12,89,16.08,302.384,1.69
Pushkino,75,71,56.01,285.15,7.0
Calafell,44,87,41.2,290.15,1.5
Balabanovo,12,65,41.57,286.584,2.41
Fadd,0,77,46.47,288.534,1.24
El Castillo,56,92,3.56,293.634,0.94
Sandila,75,79,27.06,303.15,4.1
Verkhniy Mamon,0,67,50.17,289.384,1.61
Bao,0,73,13.0,298.134,4.21
Mokrousovo,88,53,55.81,290.934,9.64
Turcinesti,0,86,45.1,285.934,1.21
Oyama,75,64,36.31,295.15,3.6
Kocser,20,100,47.0,288.15,1.24
Yazoo City,1,88,32.86,300.15,2.1
Wote,92,100,-1.78,290.334,1.91
Sonari,75,88,27.03,299.15,3.1
Cherryland,90,76,37.68,290.15,5.7
Delta,90,94,41.57,298.15,4.6
Sakai,75,94,34.53,294.15,1.0
Tibagon,75,74,7.23,303.15,3.1
Ashland,90,83,38.48,297.15,2.6
Dukhovshchina,0,55,55.19,285.484,4.51
Rancho Palos Verdes,90,77,33.75,293.15,4.1
Vetovo,0,87,45.42,289.15,0.5
Strzelce Krajenskie,0,79,52.88,291.284,1.46
Virarajendrapet,92,97,12.2,296.084,1.36
Agua de Dios,75,83,4.37,296.15,2.1
Kirchberg,75,100,50.62,287.15,2.1
Horsens,0,77,55.86,290.15,5.7
Komatipoort,20,91,-25.43,288.584,1.61
Macduff,75,100,57.67,286.15,1.5
Maniakoi,0,100,40.5,284.284,0.91
Buenlag,8,94,15.98,304.784,1.16
Dhidhdhoo,48,100,6.88,299.984,6.46
Cumberland,1,77,41.97,291.15,1.81
Ocotlan,5,15,20.35,304.15,3.1
Holice,0,76,50.07,287.15,3.41
Salimpur,0,34,28.13,308.284,2.69
Duldurga,0,58,50.67,298.634,1.81
North Ogden,20,35,41.31,295.15,5.7
Lancaster,90,88,40.04,296.15,5.1
Medina,0,16,24.47,304.15,3.1
Vacszentlaszlo,0,100,47.57,287.15,0.5
Malamote,44,94,7.07,301.234,1.84
Binitinan,80,87,8.71,302.034,0.69
Mirador,76,55,-6.37,299.484,2.91
Anjo,75,88,34.95,292.15,1.0
Montorio al Vomano,0,93,42.58,290.15,2.6
La Marque,20,74,29.37,301.15,6.7
Wuning,100,100,29.26,291.884,3.84
Tinoto,48,87,5.89,301.084,1.44
Kaset Sombun,44,76,16.28,302.634,1.51
Bry-sur-Marne,0,88,48.84,292.15,1.5
Nakambala,0,85,-15.83,283.734,1.59
Banff,88,77,51.18,277.234,0.56
Wassenaar,0,100,52.14,290.15,1.0
Gansing,0,82,48.3,290.15,1.5
Totowa,90,87,40.91,291.15,2.01
Zirgan,12,73,53.22,287.034,4.84
Afikpo,92,99,5.88,296.334,1.34
Diplo,0,74,24.47,302.734,3.91
Zilina,0,82,49.22,288.15,1.0
Goldenrod,40,94,28.61,298.15,2.6
Caparrapi,64,100,5.35,293.434,0.94
Fort Smith,1,74,35.39,304.15,1.66
Santo Cristo,12,61,-27.83,294.984,3.46
Ilinskaya,0,76,45.72,287.084,2.56
Siruguppa,8,81,15.63,301.384,4.44
San Diego de la Union,32,32,21.47,295.734,4.36
La Union,48,95,14.97,293.484,0.81
Libacao,88,91,11.48,300.784,1.66
Spijkenisse,8,100,51.85,290.15,1.0
Remagen,0,82,50.58,292.15,1.0
Sao Fidelis,88,100,-21.65,289.584,1.14
Diamantina,48,81,-18.24,285.884,1.29
Ravanusa,0,94,37.27,289.434,1.49
Lubbock,20,11,33.58,304.15,4.1
Bistra,12,77,47.87,289.15,2.6
Melrose Park,75,94,41.9,296.15,1.59
Avramesti,0,87,46.33,286.15,2.6
Olawa,0,87,50.95,289.15,1.5
Donegal,56,93,54.65,285.984,2.01
Tiszacsege,0,82,47.7,288.15,1.5
Kostolac,0,72,44.71,290.15,2.1
Novyye Lyady,75,86,58.05,276.15,7.0
Moldova Sulita,12,84,47.68,279.534,0.69
Mattoon,1,78,39.48,300.15,1.5
Caramanta,88,98,5.55,289.534,0.61
Barnova,0,62,47.07,288.15,1.0
Haapsalu,0,76,58.95,287.15,3.6
Schwalmtal,75,93,50.68,289.15,1.5
Ladwa,0,40,30.0,307.334,3.71
Vapnyarka,0,76,48.53,284.884,1.26
Sedkyrkeshch,75,76,61.72,273.15,5.0
Qujing,88,71,25.49,293.584,4.31
Kriel,0,78,-26.26,276.084,2.84
Zaokskiy,64,53,54.73,285.584,1.89
Quila,12,28,20.35,299.284,1.79
Pine Castle,75,100,28.47,298.15,2.6
Prudentopolis,80,86,-25.21,284.884,0.89
Inhuma,0,58,-6.67,298.284,4.59
Tubli,56,98,13.93,302.784,2.24
Vitry-sur-Seine,0,93,48.79,292.15,2.74
Wala,12,78,11.17,297.284,2.16
Wonthaggi,88,70,-38.6,285.734,2.01
Senekal,32,61,-28.32,275.934,3.54
Izvoarele,0,71,45.55,286.484,1.61
Mandaguari,0,56,-23.52,295.15,4.6
Kingsgate,0,66,-29.8,282.634,5.16
Nambalan,75,59,15.6,305.15,4.1
Ypacarai,75,69,-25.41,296.15,3.1
Aubergenville,80,88,48.96,291.15,1.0
Tetzoyocan,8,40,18.75,291.384,1.69
Kabin Buri,76,86,13.95,303.234,1.74
Westborough,1,77,42.27,291.15,1.81
Gonzales,1,71,36.51,290.15,7.7
Ushi,0,93,42.53,283.15,1.0
Posse,0,59,-14.08,291.034,4.04
Claremore,1,83,36.31,304.15,2.1
Coolum Beach,0,80,-26.53,291.484,2.46
Kozlovka,40,87,55.84,280.15,5.0
Zabrat,0,72,40.48,290.15,2.1
Bonbon,75,66,10.22,305.15,4.1
Tha Chang,80,92,14.76,301.234,2.04
Sumbawanga,8,89,-7.95,291.434,4.96
Techirghiol,0,66,44.06,286.15,5.1
Harnosand,0,93,62.63,282.15,1.0
Stejari,0,85,45.04,285.634,1.26
Kamen-na-Obi,88,93,53.79,280.484,4.99
Cardston,40,44,49.2,290.15,8.7
Sieut,8,87,46.98,286.15,2.6
Medzev,0,77,48.7,288.15,0.5
Floriano,100,46,-6.77,302.084,4.51
Napierville,40,53,45.19,298.15,4.1
Bicas,88,93,-21.72,287.584,1.29
Granada,40,83,11.93,300.15,3.1
Meaford,75,61,44.61,300.15,5.7
Natchitoches,1,74,31.76,302.15,2.1
Oirschot,90,100,51.5,292.15,0.5
Dhenkanal,40,83,20.65,301.15,2.1
Ladyzhyn,0,79,48.68,285.134,1.26
Gorgota,0,82,44.98,287.15,0.94
Nea Fokaia,40,72,40.13,289.15,3.1
Capissayan,20,85,18.05,303.484,1.11
Fairfield,1,48,38.25,292.15,8.2
Irinjalakuda,75,94,10.34,299.15,1.01
Mamurras,0,93,41.58,292.15,1.0
Rafael Lara Grajales,5,18,19.23,294.15,3.6
Polohy,0,58,47.48,286.234,1.26
Alhama de Murcia,0,86,37.85,284.484,1.06
Puracic,0,100,44.55,285.15,0.5
Roscommon,48,88,53.63,285.984,2.46
Wausau,75,100,44.96,293.15,4.29
Nefteyugansk,0,42,61.09,282.15,7.0
Sura Mare,0,87,45.85,285.15,2.1
Cardona,64,96,-33.87,285.534,6.31
Chernenko,0,57,47.23,285.684,1.34
Camp Verde,1,11,34.56,299.15,6.2
Louga,0,89,15.62,292.684,3.19
Obosi,36,98,6.1,297.284,2.39
Tecoman,75,88,18.91,297.15,6.2
Bondy,0,88,48.9,291.15,1.5
Pirassununga,0,81,-22.0,285.15,1.0
Hinsdale,1,63,42.79,294.15,2.6
Natividad,8,85,16.04,302.584,1.36
El Colorado,40,31,20.46,299.15,2.1
Klyuchevskiy,0,46,53.53,300.034,2.56
Tabuc,88,91,11.43,300.784,1.66
Karitsa,40,72,40.19,289.15,3.1
Chokurdakh,36,100,70.62,272.834,1.94
Krasna,0,87,49.78,286.15,0.69
Kadingilan,92,97,7.6,296.084,1.39
Giera,0,72,45.41,289.15,1.5
Rocafuerte,40,83,-0.92,296.15,5.1
Laurel,75,63,45.67,291.15,5.7
Mungaoli,0,33,24.41,308.484,5.64
Takanosu,75,100,40.22,296.15,2.6
Paltinoasa,0,48,47.55,291.15,4.1
Cromwell,1,100,41.6,292.15,1.89
Bauta,75,88,22.98,299.15,2.1
Bereznik,44,51,62.86,275.784,6.84
Solon,75,83,41.39,298.15,3.6
Malabor,68,90,11.27,303.584,1.96
Ivanjica,0,93,43.58,284.15,1.46
Banaba,40,59,14.68,306.15,3.6
San Policarpo,36,91,12.18,303.134,3.49
Lunca Corbului,8,65,44.68,288.184,1.24
Lauda-Konigshofen,75,100,49.57,291.15,1.5
Pavlovskaya Sloboda,75,71,55.82,285.15,7.0
Reque,40,88,-6.87,291.15,7.7
Tiszaszentimre,0,93,47.49,288.15,1.0
Wakuya,75,77,38.56,294.15,3.1
Luancheng,0,35,37.88,302.15,1.0
La Herradura,0,93,36.73,292.15,3.24
Pardubice,0,76,50.04,287.15,4.06
Wasaga Beach,1,65,44.51,298.15,3.1
Temoac,5,18,18.77,294.15,3.6
Tuatapere,0,100,-46.13,282.484,1.71
Anastasiyevskaya,0,82,45.22,287.15,3.0
Gereykhanovskoye,8,81,41.7,285.484,1.34
Capellen,0,100,49.65,289.15,2.6
Spittal,92,100,55.76,284.15,0.5
Zyukayka,76,73,58.2,277.234,8.81
Rovaniemi,0,75,66.5,278.15,2.1
Balotesti,0,93,44.62,287.15,1.5
Chipaque,75,87,4.44,286.15,1.5
Kon Tum,8,71,14.36,300.834,1.26
Calella,20,100,41.62,290.15,1.5
Siddhapur,0,58,23.92,304.234,2.39
Tezontepec,5,13,19.88,298.15,7.2
Fot,0,43,-9.47,302.134,1.29
Itapecerica,8,85,-20.47,283.334,3.51
Tessenderlo,90,100,51.07,292.15,0.5
Ikornnes,12,100,62.39,287.15,4.6
Emiliano Zapata,0,91,20.23,297.984,2.16
Rochefort,90,82,45.94,290.15,3.6
Huambo,0,82,-12.78,279.734,0.99
Spasskoye,36,60,55.86,282.384,7.01
Lesu,0,81,9.83,298.384,4.29
Gujan-Mestras,90,82,44.63,290.15,3.1
Seaca de Camp,8,87,43.93,284.15,2.1
Pilisszanto,0,100,47.67,287.15,0.5
Karpushikha,44,81,57.5,281.484,5.51
Baybay,56,83,10.68,303.134,1.84
Stalpu,0,73,45.08,286.334,1.26
East Hartford,1,100,41.78,292.15,1.84
Cristobal Obregon,90,52,16.35,304.15,2.1
Naruto,75,94,34.18,293.15,1.0
Lukang,40,70,24.06,304.15,4.1
Centralina,48,64,-18.58,292.134,3.61
Karema,0,76,-6.82,286.584,1.01
Oer-Erkenschwick,8,88,51.64,291.15,2.6
Gyongyos,0,100,47.78,287.15,0.5
Stubbekobing,0,88,54.89,287.984,7.46
Soyaniquilpan,0,30,19.98,291.484,3.29
Itirapina,0,81,-22.26,285.15,1.0
Lisov,0,93,49.64,289.15,1.0
Bugembe,48,96,0.48,291.434,1.24
Heliconia,75,93,6.21,289.15,3.1
Almetyevsk,92,95,54.9,280.084,5.04
Ellington,20,63,41.9,292.15,3.6
Torrance,90,77,33.84,294.15,4.1
Hauterive,75,87,46.09,287.15,1.5
Suleja,32,95,9.18,296.634,2.34
Moldova Noua,0,72,44.74,289.15,1.5
Sada,90,82,43.35,287.15,2.6
Foeni,0,93,45.5,289.15,3.6
Esparta,40,83,15.74,301.15,2.1
Blackwood,90,93,51.67,289.15,2.6
Barranca,88,100,-10.75,289.184,6.86
Caapora,40,94,-7.52,296.15,2.6
Carmen,44,94,7.2,301.234,1.84
Jemnice,0,77,49.02,289.15,3.1
Goruia,0,72,45.19,289.15,1.5
Redcar,90,100,54.62,287.15,1.0
Maple Shade,90,100,39.95,292.15,1.5
Changuinola,64,100,9.44,297.584,0.34
Pielesti,8,87,44.33,284.15,2.1
El Maranon,75,74,15.4,302.15,2.6
Volnoye,32,80,44.63,287.484,0.91
Greci,40,59,41.25,292.15,2.1
Aberfeldy,90,100,56.62,285.15,4.6
Runcorn,40,93,53.34,288.15,3.6
Ladysmith,0,56,-28.55,275.134,0.99
Batu Berendam,75,79,2.25,302.15,2.16
Dobeln,0,72,51.12,290.15,1.5
Stolbovaya,75,58,55.26,285.15,6.0
Guindapunan,36,95,11.17,303.134,2.94
Phoenixville,90,93,40.13,294.15,2.59
Tsikalaria,40,77,35.48,292.15,2.04
Moscow,75,58,55.75,285.15,6.0
Maradi,0,61,13.5,299.684,4.81
Ibirama,0,92,-27.05,284.034,0.99
Las Palmas,40,88,-6.53,297.15,0.69
Namtsy,0,41,62.72,287.134,4.74
Argostolion,0,82,38.18,292.15,3.41
Romblon,64,100,12.58,302.434,2.96
Putai,0,100,46.66,287.15,2.1
Elsterwerda,0,72,51.46,290.15,1.5
Kamareddi,44,71,18.32,301.484,1.81
Novaya Mayna,75,76,54.15,282.15,8.0
Inhambane,0,100,-23.87,290.584,2.11
Portsoy,75,100,57.68,286.15,1.5
Igny,0,93,48.73,292.15,2.74
Acu,0,100,-3.35,298.15,0.5
Khadki,36,86,18.57,299.584,2.49
Lloydminster,90,93,53.28,280.15,4.6
Lubon,12,70,17.03,301.134,1.26
Santa Cruz,1,71,36.97,290.15,7.7
Barsana,0,35,27.65,308.434,1.36
Pavlovo,40,93,55.97,280.15,4.0
Yozgat,64,97,39.82,283.984,0.61
Springfield,1,78,37.22,298.15,2.6
Bagneux,0,93,48.8,292.15,2.74
Gostivar,0,87,41.79,287.15,0.5
Gorbatovka,40,93,56.26,280.15,4.0
Port Lincoln,0,88,-34.72,289.384,5.61
Khndzoresk,68,83,39.51,280.984,0.79
Ushtobe,0,41,45.25,286.484,1.81
Harsum,8,87,52.21,290.15,1.5
Meycauayan,40,59,14.73,306.15,3.6
Newark,90,82,40.74,291.15,2.01
Parga,90,82,43.39,287.15,2.6
Pullman,1,50,46.73,291.15,1.5
Katowice,80,93,50.26,288.15,0.5
Krsko,8,93,45.96,289.15,0.5
Bay-Khaak,80,22,51.16,295.184,1.04
Imphal,75,83,24.8,296.15,2.1
Vittoria,0,100,36.95,292.15,3.1
Langenburg,24,77,50.84,289.734,3.99
Kanke,75,65,23.41,299.15,2.1
Jarrow,90,100,54.98,285.15,1.0
Chemainus,75,51,48.92,289.15,1.11
Kalino,36,93,51.66,287.15,0.5
Aleksandrovka,0,87,46.65,290.934,1.91
Jugno,40,70,9.47,305.15,5.1
Annapolis,90,94,38.98,296.15,5.7
Barra dos Coqueiros,20,74,-10.91,299.15,3.6
Sultanpur,48,54,26.26,305.434,5.34
Lohja,0,62,60.25,284.15,2.6
Farrukhabad,100,45,27.39,305.884,3.46
Udpura,0,51,24.73,306.234,4.16
Jundiai,0,67,-23.19,289.15,4.6
Ucar,20,75,40.51,288.534,1.11
Kuba-Taba,24,93,43.78,285.15,2.0
Khardaha,40,79,22.72,305.15,3.1
Kusadak,0,72,44.4,289.15,1.5
Sarszentmihaly,0,100,47.15,287.15,1.5
Ritchie,68,74,-29.03,275.15,2.1
Kirkintilloch,90,87,55.94,288.15,3.6
Aligarh,0,39,27.88,307.534,3.04
Vinstra,0,82,61.6,282.884,0.84
Cogon,75,74,6.76,303.15,3.1
Machhiwara,0,23,30.91,308.984,2.16
Porto Recanati,8,88,43.44,293.084,0.46
West Columbia,1,83,29.14,300.15,3.6
Daeni,0,71,44.83,287.15,1.5
Khandwa,0,59,21.82,304.084,3.96
Navotas,40,59,14.66,306.15,3.6
Inagi,20,77,35.64,294.15,3.6
Mount Juliet,1,94,36.2,295.15,3.1
Orocue,0,91,4.79,297.684,1.21
Salmon Creek,1,45,45.71,291.15,4.6
Malacatan,90,88,14.9,298.15,3.1
Las Lajas,20,88,14.9,298.15,3.1
Zmeyskaya,40,81,43.34,285.15,2.0
Beriu,0,87,45.79,285.15,2.1
Siria,44,97,9.4,293.884,3.51
Breves,44,100,-1.68,297.434,2.51
Ouffet,20,88,50.44,292.15,4.1
Hallein,40,82,47.68,289.15,1.5
Kamien Pomorski,0,87,53.97,289.15,1.0
Sakura,75,64,36.73,295.15,3.6
Storozhevaya,12,82,43.89,282.284,0.91
General Jose Eduvigis Diaz,90,94,-27.17,294.15,3.1
Rosny-sous-Bois,0,88,48.88,292.15,1.5
Cedar City,1,17,37.68,296.15,7.2
Smyshlyayevka,8,60,53.75,283.834,7.06
Popesti-Leordeni,0,82,44.38,287.15,0.94
